src_pr,tgt_pr,label,confidence,justification
939,947,N1,medium,"Src adds TextWithTooltip.test.tsx and bumps upload-artifact v3->v4 in test.yaml; tgt addresses unrelated corepack/checkout setup and only removes an unused ThorinGlobalStyles import from the new test file. No fix of damaging behavior in src."
752,765,N1,high,"Src adds RemoveToolButton and changes grid-cols in tool-card.tsx; tgt adds optimistic queryClient update for the enable-toggle switch in a different region of the same file (different Tooltip block). No line-level overlap with src additions."
1560,1559,N1,high,"Src is docs-only (ARKitecture.md, README.md T_cycle/T_age). Tgt includes identical doc lines (rebase artifact) plus fixes calibration mutation in HARK/core.py and adds test_monte_carlo.py. Unrelated logic bug."
339,351,N1,high,"Src adds empty-option-label example route; tgt adds a new 'accented-options' test route in routes.ts and fixes infer-label.ts regex for accents. Different routes, no overlap with src's added lines."
342,351,N1,high,"Src adds a 'field1Name' test case; tgt appends new accented-character tests and a startCase describe block to the same file. Src's test is untouched; tgt modifies infer-label.ts which src never touched."
1559,1660,N1,high,"Src adds 'Offline npm install' section to README.md at line 127; tgt appends a License section at line 282 of same README and edits unrelated worker/*.ts and i18n JSON. No overlap with src's added lines."
12857,13648,N1,high,"Src adds FontAwesome icons to smInpatient submenu (line 325) in menu.xhtml; tgt fixes TransferRequestController variable rename and whitespace at line 1000 of same file. Different regions; tgt touches Java files src never modified."
49312,49239,N1,high,"Src fixes 'capabiltities' spelling in ProjectCapabilityConstraint trans-unit (~line 2203) across xlf files; tgt adds LAUNCH_PROFILE/PROJECT_PATH trans-units at ~line 880 and fixes 'instatiate' elsewhere. Non-overlapping lines; unrelated string fixes happen to share localization files."
269,271,N2,medium,"Src's azuread/configuration.go and test additions appear carried through tgt's patch context (same const block shown as both delete+add), suggesting tgt branch rebased on src. The actual datetime-overflow fix targets bulk insert code not present in shared patches, so we cannot confirm line-level repair of src."
358,440,N1,medium,"Src converts DataTable to Table in invoices/[id]/page.tsx (imports and TableCell layout). Tgt restructures the edit-button conditional and adds Trash2/CircleAlert imports at the top; tgt's actual fix is in invoices/page.tsx admin-email logic that src never touched. No repair of src lines."
3662,3668,N1,medium,"Src regenerates tpc-h/out/q15.ir.out for a VM change. Tgt regenerates q15 and several other TPC-H goldens after improving Cast disassembly formatting (Sort 150,93,0,0 -> Sort r150,r93). This is independent iterative golden churn, not a repair of damage src introduced."
30270,30765,N1,high,"Src adds *REMOVED* ClickGestureRecognizer entries at line ~258-276 of each PublicAPI.Unshipped.txt; tgt adds new Window.IsMaximizable/IsMinimizable API entries at line ~330-342 of the same files. Unrelated public-API additions in adjacent regions."
8411,8418,P5,medium,"Src converts label into GroupBox in FileProviderSettings.qml adding font.bold, padding, background Rectangle. Tgt directly removes font.bold, padding, and background from the GroupBox src just introduced, replacing them with GroupBoxStyle. Tgt is a cosmetic rollback/re-styling of lines src added in the same commit."
4124,4161,N1,high,"Src tweaks OpValues builtin in runtime/vm/vm.go around line 1491 (empty-map fast path). Tgt rewrites compileBinary short-circuit logic for && and || around line 2341 of the same file - a different function entirely. No line-level overlap."
4210,4312,N1,medium,"Both PRs regenerate tests/dataset/tpc-h/out/q13.ir.out. Src bumps regs 101->99; tgt bumps regs 102->100 and adds Move/JumpIfFalse opcodes after further VM compiler changes. Classic iterative golden regeneration, not a repair of a damage src introduced."
1502,1520,P1,low,"Src replaces enterprise.ag_grid.index.path with the hardcoded string '/docs/enterprise/ag_grid/' in create_sidebar_section('Components',...). Tgt rewrites that exact line to enterprise.components.path, swapping the call-shape src had used. Tgt also splits enterprise_index parameter to fix coupled highlighting, but the direct line overlap is on src's hardcoded path."
95356,95516,N1,high,"Src adds a None/len<2 guard in extract_request_data of sql_injection_detector.py around line 91. Tgt adds an auto.db.rails skip in is_span_eligible around line 209 of the same file - different method, different concern. Tgt's other shared files have no logical relation to src."
7969,8269,N1,high,"Src rewrites compileBinaryExpr in compiler/x/java/compiler.go around line 1973 for operator precedence. Tgt rewrites compileQuery around line 2845 for group/row-type inference. Different functions in the same large file; no line overlap."
353,356,P6,medium,"Src rewrites ConcurrentList.java to use chunked atomic buckets. Tgt stabilizes ConcurrentListIteratorTest.testReadFailsGracefullyWhenConcurrentRemoveShrinksList as flaky using a latch. Shared patches are only changelog/userguide entries, but tgt's commit message explicitly names the test as flaky after src's rewrite - a regression that escaped because src shipped the rewrite without strengthening the affected test."
174,230,N1,medium,"Src adds AnimatedVisibility and derivedStateOf for showApkCard/showWhatsAppCard/showClipboardCard in ScannerDashboardScreen.kt. Tgt adds a new emptyFoldersHideUntil state and removes an unused CleaningType import - different state, different cards region. No direct modification of src's derivedStateOf additions."
